p,h,r,cumulative
101,1,0,0
101,2,1,1
101,3,4,5
101,4,5,10
101,5,0,10
101,6,1,11
101,7,0,11
101,8,3,14
101,9,0,14
101,10,1,15
101,11,4,19
101,12,1,20
101,13,0,20
101,14,3,23
101,15,0,23
101,16,3,26
101,17,2,28
101,18,1,29
101,19,2,31
101,20,1,32
101,21,0,32
101,22,3,35
101,23,0,35
101,24,1,36
101,25,2,38
101,26,1,39
101,27,0,39
101,28,3,42
101,29,0,42
101,30,1,43
101,31,2,45
101,32,1,46
101,33,0,46
101,34,3,49
101,35,0,49
101,36,3,52
101,37,0,52
101,38,1,53
101,39,2,55
101,40,1,56
101,41,0,56
101,42,1,57
101,43,0,57
101,44,1,58
101,45,2,60
101,46,1,61
101,47,0,61
101,48,3,64
101,49,0,64
101,50,1,65
1009,1,0,0
1009,2,1,1
1009,3,4,5
1009,4,3,8
1009,5,0,8
1009,6,1,9
1009,7,0,9
1009,8,3,12
1009,9,0,12
1009,10,1,13
1009,11,0,13
1009,12,1,14
1009,13,0,14
1009,14,5,19
1009,15,2,21
1009,16,3,24
1009,17,0,24
1009,18,1,25
1009,19,0,25
1009,20,1,26
1009,21,0,26
1009,22,1,27
1009,23,4,31
1009,24,1,32
1009,25,2,34
1009,26,3,37
1009,27,0,37
1009,28,1,38
1009,29,0,38
1009,30,1,39
1009,31,2,41
1009,32,3,44
1009,33,0,44
1009,34,3,47
1009,35,0,47
1009,36,1,48
1009,37,2,50
1009,38,1,51
1009,39,0,51
1009,40,1,52
1009,41,2,54
1009,42,3,57
1009,43,2,59
1009,44,1,60
1009,45,2,62
1009,46,1,63
1009,47,0,63
1009,48,1,64
1009,49,2,66
1009,50,3,69
10007,1,0,0
10007,2,3,3
10007,3,0,3
10007,4,5,8
10007,5,2,10
10007,6,5,15
10007,7,0,15
10007,8,3,18
10007,9,4,22
10007,10,1,23
10007,11,0,23
10007,12,1,24
10007,13,2,26
10007,14,1,27
10007,15,0,27
10007,16,1,28
10007,17,0,28
10007,18,3,31
10007,19,0,31
10007,20,1,32
10007,21,0,32
10007,22,1,33
10007,23,4,37
10007,24,1,38
10007,25,0,38
10007,26,3,41
10007,27,0,41
10007,28,1,42
10007,29,2,44
10007,30,1,45
10007,31,2,47
10007,32,5,52
10007,33,2,54
10007,34,1,55
10007,35,0,55
10007,36,5,60
10007,37,0,60
10007,38,3,63
10007,39,4,67
10007,40,1,68
10007,41,2,70
10007,42,3,73
10007,43,2,75
10007,44,1,76
10007,45,0,76
10007,46,1,77
10007,47,2,79
10007,48,5,84
10007,49,0,84
10007,50,3,87
